time,0_SV-2,1_SV-5,2_SV-6,3_SV-7,4_HV-NM1,5_HV-NM2,6_고압콘덴샤,7_신재생에너지동,8_대학B동,9_대학기숙사A동,10_제2학생회관,11_학사P/P,12_교원아파트,13_대학C동,14_중앙연구기기센터,15_대학A동,16_다산빌딩,17_산학협력연구동,18_신재생에너지동(E),19_대학B동(E),20_대학기숙사A동(E),21_학사P/P(E),22_제2학생회관(E),23_교원아파트(E),24_대학C동(E),25_중앙연구기기센터(E),26_대학A동(E),27_다산빌딩(E),28_산학협력연구동(E),29_SV-2,30_SV-5,31_SV-6,32_HV-M1,33_HV-M2,34_HV-NM,35_HV-EM,36_중앙P/P,37_전기전자컴퓨터공학동,38_신소재공학동,39_생명과학동,40_기계공학동,41_LG도서관,42_창업B동,43_금호관,"44_냉각수순환펌프1,2,3","45_냉각수순환펌프4,5,6",46_기혼자아파트E동,47_기숙사9동,48_고등광/극초단,49_신소재공학동(E),50_전기전자컴퓨터공학동(E),51_생명과학동(E),52_기계공학동(E),53_LG도서관(E),54_중앙P/P(E),55_고등광연구소(E),Total
10,2649.9,2653.1,0,2627.5,0,2640.8,719.5,1074.6,369.1,138.5,186.7,67.7,42.2,253.5,292.4,118.9,621.5,31.8,147.1,62.9,47.9,33.7,49.5,26.2,34.8,74.1,34.3,88.5,22.4,4089.1,2741.7,1364.4,2751.5,1369.2,2109,649.3,99.4,461.5,439.6,628.4,183.6,269.8,61.5,79.3,0,0,270.5,59.1,861.1,48,163.6,179,22.9,72,108.3,106,34296.9
11,2688.2,2711,0,2673.7,0,2675.2,754.1,1062.9,360.8,133.3,196.7,73.5,45.6,230.7,325.3,110.4,621.4,35.8,152.4,57.8,57.6,44.6,47.1,34.4,35.9,72.3,36,90.8,25.4,4099.1,2710.7,1409,2713.8,1397.1,2043.6,698.6,112.4,459.7,448.5,542.8,185,305.1,54.6,62.5,0,0,271.5,58.6,909.2,45,153.4,169.2,21.4,79.6,174.3,114.8,34592.4
12,2687,2690.2,0,2702.3,0,2681.7,768.5,1038.2,376.5,161.7,209.2,79.5,47.2,231.3,281.2,120.8,607.8,29.5,149.9,58.9,41.3,31.7,57.9,38.6,35.6,57.8,37.9,85,29.3,4017.2,2625.6,1500.4,2627.7,1496.7,2010.8,682.5,99.3,455.6,450.3,544.1,186.5,265.8,53.3,57.4,0,0,320.1,57.8,885.5,53.5,149.1,162.5,24.5,74.3,171.9,105.4,34414.3
13,2621.9,2620.3,0,2652.3,0,2640.6,741.7,1070.1,419.5,167,201.1,75.9,48.4,233.1,226,138.4,610.6,114.5,152.6,65.9,47.7,26.9,46.7,39.6,36.1,68.4,36.7,85.2,31.1,4028.1,2598.7,1486.1,2599.9,1474,1992.1,656.2,87,484.7,450.3,508.3,197.9,309.9,63.5,62,0,0,288.2,54.2,950.6,52.8,153.8,163.2,24.6,73.3,147.5,109.7,34234.9
14,2698.9,2702.7,0,2716,0,2724.8,736.6,1099.2,387.2,175.9,189.6,74.2,45.4,240.9,311.6,123.2,645.2,90.6,161.3,64.5,36.8,25.6,52.5,30.2,42.6,66,36.6,94.9,28.1,4099.3,2699.7,1463.8,2719,1469.3,2125.4,617.5,106.1,470.9,472.4,556,215,300.1,61.3,58.3,0,0,274.7,49.7,948,50.2,150.7,170.8,25.3,76.4,98.8,113.5,34993.3
15,2719.5,2731.1,0,2752.7,0,2717.1,749.1,1130.8,379.1,163.7,182.7,75.5,41.8,257.4,279.8,110.7,646,90.4,159.8,64.3,40.9,25.4,42.6,24.2,45.1,64.4,34.5,94.2,26.2,4087.2,2681.3,1510.8,2681.2,1516.3,2097.2,623.4,115.5,464.6,483.6,552.6,211.9,287.1,56.2,62.2,0,0,314,58.6,940.7,49.3,156.1,163,24.6,81.2,111.5,104.2,35083.3
16,2782.5,2776.7,0,2734,0,2718.5,784.9,1132.5,380.2,178.7,167.8,79.1,46.9,238.5,322.1,102.6,669.2,68.4,156.8,60.5,50.4,37.5,53.3,31.1,42.5,69.3,34.1,87.8,21.8,4046.8,2707.9,1424.2,2711.5,1437.7,2124.3,624.8,141.9,472.8,487.4,564.2,214.4,292.5,42.5,56.9,0,0,289.3,53.4,888.7,46.4,147.2,156.1,23.5,71.1,132.5,101.5,35087.2
17,2763.9,2765.2,0,2716.5,0,2706.9,773.1,1094.9,347.5,174.2,192.1,79.1,54.5,220.6,321.7,93.6,648.8,17.4,158.3,58.6,49.3,31,40.2,32.6,36.9,67.9,33.4,91,23,4046.6,2710.6,1458.2,2732.6,1458.4,2119.3,614.7,155.2,472.1,458.1,580.4,209.7,288.7,43.8,60.7,0,0,325.9,52.7,849.7,46.9,150,157.2,24.8,69.3,130.7,88.7,34897.2
18,2602.9,2609.7,0,2548.4,0,2565.8,804.8,1008.9,284.2,179.5,183.9,66.9,62.5,228.5,328.8,47.7,612.6,0,138.5,52,72.4,41.7,53.7,32.7,35.6,65.4,31,87,23,3877.6,2562.3,1408.2,2568.8,1410.8,2017.9,590.9,191.2,452.5,422.2,507.1,172.3,298.5,38.5,56.2,0,0,340.4,60.2,837.6,43.7,141.1,137.7,21.5,82.8,128.1,73.9,33210.1
19,2516,2514.2,0,2514.9,0,2503.2,804.8,974.2,266.2,164,131.7,65.9,73,203.6,309.7,45.7,606.8,0,133.6,51.6,72.7,46.2,44.8,42.1,32.2,53.3,29.8,79.7,18.9,3810.4,2410,1478.3,2420.8,1479.1,1936.6,509.8,216.7,453.4,403.4,475.4,138.9,269.5,31.6,67.7,0,0,389.7,56.7,804.5,48.8,136.3,116,22.6,74.3,89.4,72.8,32211.5
20,2360.4,2368.6,0,2317.8,0,2310.3,776.4,940.8,250.1,163.8,69.4,63.5,73,213.7,333.3,37.8,581.7,0,123.1,46.7,59.8,62.5,40.1,33.2,36.7,64,29.6,71.3,19.1,3787.6,2419.8,1418.4,2451.1,1419.8,1976.3,501.5,207.5,437.2,409.4,505.4,129.2,305.8,28.1,54.5,0,0,364.9,54.4,776.9,44.2,136.7,109.1,20.7,72.9,83.7,70.2,31232
21,2336.3,2338.7,0,2301.1,0,2292.9,745,932.6,231.2,180.8,79.8,60.7,77.7,206.9,312.3,39,555.3,0,121,46.9,57.7,42.8,31.6,32,32.9,52.6,29.5,71,19,3640.8,2357.1,1357.1,2363,1357.2,1926.5,458.6,197.2,437.9,405.8,452.4,128.7,290.3,27.9,53.9,0,0,301.1,57.1,793.2,42.8,135.7,100.6,21.6,52.6,88.9,66.9,30342.2
22,2300.2,2298.9,0,2221.4,0,2213.6,756.7,904.8,224.9,183.4,45.5,59.6,72.4,200.4,301.6,35.5,539.5,0,128.5,44.9,53.9,39,33.2,45.3,34.6,51.5,15.6,65.7,20,3573.2,2272.3,1362.4,2258.1,1358.6,1826.1,455.1,161.2,436.5,405.8,440,127.6,259,20.7,54.3,0,0,283.4,59.5,777.6,44.9,135.5,99,20.7,56.3,89,66.7,29534.1
23,2210,2174.5,0,2150.2,0,2151.2,738,906.6,208.3,169.1,49,61.9,63.5,201.2,304.6,29.8,538.2,0,104.8,32.7,49.5,49.6,37.5,27.2,19.6,52.2,20.6,59.3,18.6,3552.7,2293.7,1381.4,2300.3,1375.9,1855.5,450.3,147.5,440.9,397.2,484.8,118.8,255.9,30.5,51.4,0,0,283.6,61.7,797.1,39.3,138.1,97.9,19.9,47.4,89.5,63.9,29202.9
